Stock,Total invested amount,Total units purchased,Avg. holding price
Amara Raja Batteries,30034.15,32,938.57
Aster DM Healthcare,7057.9,13,542.92
Canara Bank,11564.42,120,96.37
COALINDIA,1909.8,5,381.96
Dr Reddy,16629.55,14,1187.83
Eicher Motors,3536.05,1,3536.05
Equitas Small Fin Bank,3764.72,55,68.45
Exide Ind,1446.3,5,289.26
Federal Bank,3087,22,140.32
Goldbees,5833.85,62,94.09
HCL Tech,2527,2,1263.5
HDFC Bank,14887.4,19,783.55
ICICI Bank,9100.55,10,910.05
IDFC First,14881.93,215,69.22
INDUSIND Bank,28148.05,30,938.27
INFY,13617.25,10,1361.72
IOC,850.79,6,141.8
IRCTC,10984.45,15,732.3
ITC,41956.01,120,349.63
ITC HOTELS,2074.53,5,414.91
Kotak bank,4140.9,10,414.09
KPIT TECH,18490,20,924.5
KTK Bank,24361.66,123,198.06
Manappuram,9622.43,58,165.9
Motilal Oswald,4799.05,6,799.84
Muthoot Fin,3691.5,3,1230.5
Natco Pharma,6440.6,10,644.06
NIFTYBEES,4050.3,15,270.02
ONGC,2369.85,10,236.98
Piramal fin,884.75,1,884.75
Silverbees,670.8,3,223.6
South Indian Bank,12176.57,472,25.8
Stovekraft,7529.65,16,470.6
Sunpharma,2937.5,3,979.17
Tata Chemicals,18998.9,22,863.59
Tata Steel,3323.51,30,110.78
TCS,57181.3,20,2859.07
Tech Mahindra,2228.9,2,1114.45
Thangamayil,2585,4,646.25
Tamilnadu mercantile Bank,7190.7,16,449.42
TMCV,5271.79,27,195.25
TMPV,11652.11,27,431.56
Trident,1022.4,35,29.21
Ujjivan Small Fin Bank,2054.15,56,36.68
Wipro,2666.25,14,190.45
Zydus Life Sciences,3907.9,5,781.58
,,,
Total Amount Invested,444140.17,,
